ObjectType	Schema	Name	Col/ParamName	Order	DataType	MaxLength	NumericPrecision	NumericScale	DateTimePrecision	IsNullable	DefaultValue	ParameterMode	RoutineDefinition
Table	landing	Allocation	Invoice	2	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	Allocation	Overpayment	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Allocation	Prepayment	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Allocation	CreditNote	5	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Allocation	Amount	6	decimal	NULL	19	4	NULL	NO	NULL	NULL	NULL
Table	landing	Allocation	Date	7	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	Allocation	IsDeleted	8	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Allocation	StatusAttributeString	9	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Allocation	ValidationErrors	10	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Allocations	Allocations	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Attachment	AttachmentID	1	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Attachment	FileName	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Attachment	Url	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Attachment	MimeType	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Attachment	ContentLength	5	int	NULL	10	0	NULL	YES	NULL	NULL	NULL
Table	landing	Attachment	IncludeOnline	6	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Attachments	Attachments	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BalanceDetails	Balance	1	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BalanceDetails	CurrencyCode	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BalanceDetails	CurrencyRate	3	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	Balances	AccountsReceivable	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Balances	AccountsPayable	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	Type	1	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BankTransaction	Contact	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	LineItems	3	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BankTransaction	BankAccount	4	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BankTransaction	IsReconciled	5	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	Date	6	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	Reference	7	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	CurrencyCode	8	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	CurrencyRate	9	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	Url	10	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	Status	11	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	LineAmountTypes	12	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	SubTotal	13	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	TotalTax	14	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	Total	15	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	BankTransactionID	16	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	PrepaymentID	17	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	OverpaymentID	18	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	UpdatedDateUTC	19	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	HasAttachments	20	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	StatusAttributeString	21	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransaction	ValidationErrors	22	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransactions	pagination	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransactions	Warnings	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransactions	BankTransactions	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	FromBankAccount	1	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BankTransfer	ToBankAccount	2	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BankTransfer	Amount	3	decimal	NULL	19	4	NULL	NO	NULL	NULL	NULL
Table	landing	BankTransfer	Date	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	BankTransferID	5	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	CurrencyRate	6	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	FromBankTransactionID	7	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	ToBankTransactionID	8	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	FromIsReconciled	9	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	ToIsReconciled	10	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	Reference	11	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	HasAttachments	12	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	CreatedDateUTC	13	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfer	ValidationErrors	14	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BankTransfers	BankTransfers	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Account	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Reference	2	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Particulars	3	nvarchar	12	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Code	4	nvarchar	12	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Details	5	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Narrative	6	nvarchar	18	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	BatchPaymentID	7	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	DateString	8	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Date	9	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Amount	10	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Payments	11	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Type	12	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	Status	13	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	TotalAmount	14	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	UpdatedDateUTC	15	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	IsReconciled	16	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPayment	ValidationErrors	17	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BatchPaymentDelete	BatchPaymentID	1	uniqueidentifier	NULL	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BatchPaymentDelete	Status	2	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BatchPaymentDeleteByUrlParam	Status	1	nvarchar	-1	NULL	NULL	NULL	NO	NULL	NULL	NULL
Table	landing	BatchPayments	BatchPayments	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Bill	Day	1	int	NULL	10	0	NULL	YES	NULL	NULL	NULL
Table	landing	Bill	Type	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BrandingTheme	BrandingThemeID	1	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BrandingTheme	Name	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BrandingTheme	LogoUrl	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BrandingTheme	Type	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BrandingTheme	SortOrder	5	int	NULL	10	0	NULL	YES	NULL	NULL	NULL
Table	landing	BrandingTheme	CreatedDateUTC	6	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BrandingThemes	BrandingThemes	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Budget	BudgetID	1	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Budget	Type	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Budget	Description	3	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Budget	UpdatedDateUTC	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Budget	BudgetLines	5	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Budget	Tracking	6	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BudgetBalance	Period	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BudgetBalance	Amount	2	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BudgetBalance	UnitAmount	3	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	BudgetBalance	Notes	4	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BudgetLine	AccountID	1	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BudgetLine	AccountCode	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	BudgetLine	BudgetBalances	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Budgets	Budgets	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CISOrgSettings	CISSettings	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CISSettings	CISSettings	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	ContactID	1	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	MergedToContactID	2	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	ContactNumber	3	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	AccountNumber	4	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	ContactStatus	5	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	Name	6	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	FirstName	7	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	LastName	8	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	CompanyNumber	9	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	EmailAddress	10	nvarchar	255	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	ContactPersons	11	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	BankAccountDetails	12	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	TaxNumber	13	nvarchar	50	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	AccountsReceivableTaxType	14	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	AccountsPayableTaxType	15	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	Addresses	16	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	Phones	17	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	IsSupplier	18	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	IsCustomer	19	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	SalesDefaultLineAmountType	20	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	PurchasesDefaultLineAmountType	21	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	DefaultCurrency	22	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	XeroNetworkKey	23	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	SalesDefaultAccountCode	24	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	PurchasesDefaultAccountCode	25	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	SalesTrackingCategories	26	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	PurchasesTrackingCategories	27	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	TrackingCategoryName	28	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	TrackingCategoryOption	29	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	PaymentTerms	30	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	UpdatedDateUTC	31	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	ContactGroups	32	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	Website	33	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	BrandingTheme	34	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	BatchPayments	35	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	Discount	36	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	Balances	37	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	Attachments	38	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	HasAttachments	39	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	ValidationErrors	40	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	HasValidationErrors	41	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contact	StatusAttributeString	42	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactGroup	Name	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactGroup	Status	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactGroup	ContactGroupID	3	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactGroup	Contacts	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactGroups	ContactGroups	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactPerson	FirstName	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactPerson	LastName	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactPerson	EmailAddress	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ContactPerson	IncludeInEmails	4	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contacts	pagination	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contacts	Warnings	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	Contacts	Contacts	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ConversionBalances	AccountCode	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ConversionBalances	Balance	2	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	ConversionBalances	BalanceDetails	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	ConversionDate	Month	1	int	NULL	10	0	NULL	YES	NULL	NULL	NULL
Table	landing	ConversionDate	Year	2	int	NULL	10	0	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	Type	1	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	Contact	2	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	Date	3	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	DueDate	4	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	Status	5	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	LineAmountTypes	6	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	LineItems	7	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	SubTotal	8	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	TotalTax	9	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	Total	10	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	CISDeduction	11	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	CISRate	12	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	UpdatedDateUTC	13	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	CurrencyCode	14	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	FullyPaidOnDate	15	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	CreditNoteID	16	uniqueidentifier	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	CreditNoteNumber	17	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	Reference	18	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	SentToContact	19	bit	NULL	NULL	NULL	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	CurrencyRate	20	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	RemainingCredit	21	decimal	NULL	19	4	NULL	YES	NULL	NULL	NULL
Table	landing	CreditNote	Allocations	22	nvarchar	-1	NULL	NULL	NULL	YES	NULL	NULL	NULL
